County,Name,Date,Month,Day,Year,Station,TP (µg/L),TN (µg/L),CHL (µg/L),SECCHI (ft),SECCHI 2,Color (Pt-Co Units),Specific conductance (µS/cm @ 25° C),Specific conductance (mS/cm @ 25° C)
Levy,Cedar Key-Lone Cabbage,1/2/2017,1,2,2017,1,77,1070,5,2,Bottom (2.0),16,,1368
Levy,Cedar Key-Lone Cabbage,1/2/2017,1,2,2017,2,51,670,10,2.3,,9,28,
Levy,Cedar Key-Lone Cabbage,1/2/2017,1,2,2017,3,77,910,15,1.8,,8,23,
Levy,Cedar Key-Lone Cabbage,1/2/2017,1,2,2017,4,101,880,14,1.5,,8,32,
Levy,Cedar Key-Lone Cabbage,1/2/2017,1,2,2017,5,39,500,14,3,,8,30,
Levy,Cedar Key-Lone Cabbage,1/2/2017,1,2,2017,6,93,1110,3,1.5,,22,,3187
Levy,Cedar Key-Lone Cabbage,2/5/2017,2,5,2017,1,110,1250,50,4,Bottom (4.0),91,14,
Levy,Cedar Key-Lone Cabbage,2/5/2017,2,5,2017,2,66,830,4,4,,99,10,
Levy,Cedar Key-Lone Cabbage,2/5/2017,2,5,2017,3,50,550,3,2.5,,69,7,
Levy,Cedar Key-Lone Cabbage,2/5/2017,2,5,2017,4,55,710,7,2,,66,13,
Levy,Cedar Key-Lone Cabbage,2/5/2017,2,5,2017,5,58,840,9,4,,92,12,
Levy,Cedar Key-Lone Cabbage,2/5/2017,2,5,2017,6,60,670,9,2,,64,12,
Levy,Cedar Key-Lone Cabbage,3/6/2017,3,6,2017,1,29,410,3,3.5,,18,38,
Levy,Cedar Key-Lone Cabbage,3/6/2017,3,6,2017,2,27,400,5,3.3,,15,33,
Levy,Cedar Key-Lone Cabbage,3/6/2017,3,6,2017,3,30,390,2,2.8,,15,35,
Levy,Cedar Key-Lone Cabbage,3/6/2017,3,6,2017,4,25,400,5,3.5,,14,31,
Levy,Cedar Key-Lone Cabbage,3/6/2017,3,6,2017,5,18,310,2,4,,12,27,
Levy,Cedar Key-Lone Cabbage,3/6/2017,3,6,2017,6,25,390,1,2.3,,14,33,
Levy,Cedar Key-Lone Cabbage,4/2/2017,4,2,2017,1,37,690,5,2.8,,18,9,
Levy,Cedar Key-Lone Cabbage,4/2/2017,4,2,2017,2,43,940,7,2,,27,13,
Levy,Cedar Key-Lone Cabbage,4/2/2017,4,2,2017,3,44,830,8,0.8,,20,11,
Levy,Cedar Key-Lone Cabbage,4/2/2017,4,2,2017,4,38,800,7,2,,20,11,
Levy,Cedar Key-Lone Cabbage,4/2/2017,4,2,2017,5,42,1010,12,1.5,,28,14,
Levy,Cedar Key-Lone Cabbage,4/2/2017,4,2,2017,6,33,590,4,1.5,,17,9,
