Date & Time,Temp(°C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
42958,31.21,10.61,20.24,1522.92
42958.04,31.18,13.56,25.34,1525.86
42958.08,31.12,15.87,29.22,1528.09
42958.13,31.12,17.1,31.28,1529.35
42958.17,31.18,18.07,32.92,1530.47
42958.21,31.18,18.5,33.62,1530.9
42958.25,31.15,18.51,33.63,1530.85
42958.29,31.15,18.55,33.69,1530.89
42958.33,31.12,18.67,33.88,1530.96
42958.38,31.04,17.77,32.34,1529.85
42958.42,31.1,17.46,31.85,1529.66
42958.46,31.12,16.61,30.47,1528.86
42958.5,30.98,13.94,25.89,1525.81
42958.54,31.68,16.99,31.41,1530.44
42958.58,31.94,18.61,34.29,1532.64
42958.63,32.91,17.68,33.29,1533.7
42958.67,32.32,16.07,30.21,1530.87
42958.71,32.8,17.11,32.26,1532.89
42958.75,32.8,18.03,33.83,1533.82
42958.79,32.62,17.56,32.91,1532.97
42958.83,32.5,15.6,29.49,1530.76
42958.88,32.3,13.96,26.55,1528.67
42958.92,32.06,11.95,22.94,1526.14
42958.96,32.06,10.66,20.66,1524.84
42959,31.71,8.87,17.33,1522.25
42959.04,31.27,9.82,18.88,1522.25
42959.08,31.07,11.35,21.49,1523.36
42959.13,30.86,11.71,22.03,1523.27
42959.17,30.8,11.86,22.26,1523.29
42959.21,30.92,12.74,23.83,1524.45
42959.25,31.04,14.24,26.42,1526.24
42959.29,30.95,14.22,26.35,1526.03
42959.33,30.98,14.16,26.27,1526.03
42959.38,31.18,15.27,28.24,1527.61
42959.42,31.24,14.8,27.48,1527.26
42959.46,31.24,13.84,25.84,1526.28
42959.5,31.27,12.75,23.99,1525.23
42959.54,31.68,12.56,23.85,1525.94
42959.58,32.56,16.85,31.67,1532.14
42959.63,33.36,17.75,33.67,1534.67
42959.67,33.33,17.61,33.42,1534.48
42959.71,33.3,17.39,33.03,1534.2
42959.75,33.24,17.19,32.64,1533.88
42959.79,33.56,17.56,33.47,1534.91
42959.83,33.59,17.71,33.76,1535.12
42959.88,33.56,17.26,32.95,1534.61
42959.92,33.24,16.44,31.34,1533.13
42959.96,33.18,15.94,30.45,1532.51
42960,33.12,15.51,29.66,1531.95
42960.04,33.12,15.58,29.78,1532.02
42960.08,32.68,14.39,27.49,1529.92
42960.13,31.77,14.32,26.93,1527.92
42960.17,31.47,14.05,26.31,1527
42960.21,31.39,13.72,25.71,1526.48
42960.25,31.27,14.07,26.26,1526.58
42960.29,32.18,15.06,28.4,1529.54
42960.33,31.74,16,29.77,1529.55
42960.38,31.68,15.68,29.19,1529.1
42960.42,31.62,14.68,27.47,1527.96
42960.46,31.74,13.53,25.55,1527.05
42960.5,31.62,12.91,24.42,1526.16
42960.54,31.59,12.41,23.54,1525.59
42960.58,32,12.04,23.07,1526.11
42960.63,32.53,11.23,21.85,1526.43
42960.67,32.88,10.78,21.18,1526.73
42960.71,32.94,11.42,22.35,1527.49
42960.75,33.12,12.36,24.11,1528.8
42960.79,33,12.45,24.23,1528.65
42960.83,32.38,13.23,25.33,1528.13
42960.88,32.65,13.85,26.54,1529.32
42960.92,32.71,13.39,25.76,1528.97
42960.96,32.41,11.99,23.16,1526.94
42961,32.38,11.03,21.44,1525.91
42961.04,32.32,10.9,21.18,1525.65
42961.08,31.97,10.33,20.03,1524.31
42961.13,31.97,10.11,19.64,1524.09
42961.17,31.39,10.7,20.47,1523.4
42961.21,31.27,11.98,22.67,1524.45
42961.25,31.18,12.36,23.29,1524.65
42961.29,31.07,12.27,23.07,1524.29
42961.33,30.92,12.58,23.54,1524.28
42961.38,30.92,12.72,23.79,1524.43
42961.42,30.92,12.58,23.54,1524.28
42961.46,30.92,11.84,22.27,1523.53
42961.5,30.92,10.82,20.51,1522.49
42961.54,31.04,9.82,18.8,1521.73
42961.58,31.07,9.51,18.26,1521.47
42961.63,31.59,8.8,17.18,1521.93
42961.67,31.59,8.81,17.19,1521.94
42961.71,32.09,7.68,15.28,1521.89
42961.75,32.56,6.77,13.71,1522
42961.79,32.35,6.44,13.04,1521.22
42961.83,32.24,7.73,15.42,1522.27
42961.88,31.94,9.82,19.12,1523.73
42961.92,32.35,11.11,21.57,1525.93
42961.96,32.32,10.35,20.21,1525.1
42962,32.03,8.36,16.51,1522.45
42962.04,31.62,7.31,14.47,1520.47
42962.08,31.07,0.01,0,1511.77
42962.13,30.69,0.01,0,1510.88
42962.17,30.89,0.01,0,1511.36
42962.21,30.77,1.57,3.39,1512.68
42962.25,30.63,5.43,10.78,1516.3
42962.29,30.54,6.2,12.19,1516.89
42962.33,31.68,9.96,19.27,1523.29
42962.38,31.65,10.44,20.11,1523.72
42962.42,31.07,9.94,19.02,1521.91
42962.46,30.66,7.95,15.37,1518.96
42962.5,30.63,5.35,10.63,1516.21
42962.54,30.83,0.01,0,1511.22
42962.58,30.89,1.85,3.95,1513.24
42962.63,31.07,5.39,10.8,1517.26
42962.67,31.59,0.01,0,1513
42962.71,31.91,0.01,0,1513.74
42962.75,32.21,0.01,0,1514.41
42962.79,31.8,0.01,0,1513.47
42962.83,31.5,0.01,0,1512.79
42962.88,31.53,6.09,12.21,1519.04
42962.92,31.71,7.6,15.04,1520.97
42962.96,31.68,8.85,17.29,1522.17
42963,31.86,9.86,19.16,1523.58
42963.04,31.86,10.2,19.75,1523.92
42963.08,32.03,9.97,19.41,1524.08
42963.13,31.97,9.53,18.61,1523.51
42963.17,31.91,10.11,19.62,1523.96
42963.21,31.15,7.18,14.11,1519.29
42963.25,31.47,8.76,17.06,1521.62
42963.29,31.33,12.08,22.86,1524.68
42963.33,31.15,13.89,25.89,1526.14
42963.38,31.15,14.59,27.07,1526.85
42963.42,31.07,14.88,27.53,1526.96
42963.46,31.04,15.07,27.83,1527.09
42963.5,30.8,13.95,25.82,1525.43
42963.54,30.8,13.72,25.44,1525.2
42963.56,32.41,5.55,11.38,1520.45
42963.6,31.56,5.01,10.19,1518.01
42963.65,32.56,0.01,0,1515.2
42963.69,33.24,0.02,0,1516.72
42963.73,32.88,6.12,12.57,1522.06
42963.77,32.77,6.07,12.43,1521.74
42963.81,32.27,6.01,12.21,1520.59
42963.85,32.27,8.94,17.63,1523.54
42963.9,32.24,11.31,21.89,1525.88
42963.94,32.15,12.66,24.22,1527.05
42963.98,31.88,13.78,26.05,1527.62
42964.02,31.94,14.41,27.17,1528.38
42964.06,31.65,9.83,19.04,1523.1
42964.1,31.42,7.83,15.36,1520.54
42964.15,31.12,6.21,12.34,1518.24
42964.19,30.98,5.93,11.78,1517.61
42964.23,30.37,1.76,3.73,1511.91
42964.27,30.6,9.61,18.29,1520.53
42964.31,31.62,15.85,29.46,1529.15
42964.35,31.42,18.83,34.32,1531.74
42964.4,31.18,19.05,34.53,1531.46
42964.44,30.89,17.69,32.12,1529.45
42964.48,31.18,18.46,33.56,1530.87
42964.52,31.21,13.81,25.79,1526.19
42964.56,31.65,11.17,21.4,1524.46
42964.6,31.59,11.45,21.86,1524.61
42964.65,31.74,8.02,15.8,1521.45
42964.69,32.38,4.3,8.96,1519.12
42964.73,32.91,0.01,0,1515.99
42964.77,32.62,3.34,7.11,1518.68
42964.81,32.27,6.64,13.4,1521.23
42964.85,32.09,7.79,15.48,1522
42964.9,31.83,9.5,18.5,1523.15
42964.94,31.68,11.87,22.64,1525.24
42964.98,31.47,12.86,24.28,1525.8
42965.02,31.33,12.47,23.53,1525.07
42965.06,31.3,13.01,24.45,1525.56
42965.1,31.27,11.64,22.07,1524.1
42965.15,31.27,8.85,17.16,1521.26
42965.19,31.1,7.6,14.87,1519.59
42965.23,30.98,7.52,14.68,1519.24
42965.27,30.69,8.51,16.38,1519.6
42965.31,30.45,9.22,17.55,1519.79
42965.35,30.22,8.92,16.95,1518.95
42965.4,30.6,12.24,22.83,1523.23
42965.44,30.75,14.68,27.03,1526.05
42965.48,30.66,15.39,28.17,1526.58
42965.52,30.6,15.39,28.15,1526.46
42965.56,30.45,12.92,23.92,1523.59
42965.6,30.37,11.14,20.85,1521.57
42965.65,30.11,8.3,15.82,1518.04
42965.69,29.82,6.42,12.41,1515.42
42965.73,29.84,6.23,12.07,1515.29
42965.77,29.64,6.01,11.64,1514.59
42965.81,29.44,5.13,10,1513.18
42965.85,29.47,6.15,11.85,1514.32
42965.9,29.76,11,20.37,1520.02
42965.94,29.93,13.62,24.87,1523.14
42965.98,30.02,13.29,24.36,1523
42966.02,30.11,13.21,24.26,1523.11
42966.06,30.16,13.88,25.41,1523.93
42966.1,30.11,13.59,24.9,1523.5
42966.15,29.96,13.09,23.99,1522.65
42966.19,29.96,13.38,24.48,1522.95
42966.23,29.79,12.79,23.41,1521.94
42966.27,29.61,11.73,21.56,1520.45
42966.31,29.44,13.48,24.4,1521.85
42966.35,29.99,16.51,29.67,1526.25
42966.4,30.22,18.36,32.82,1528.68
42966.44,29.7,15.62,28.06,1524.68
42966.48,29.73,12.96,23.66,1521.98
42966.52,29.87,14.63,26.51,1524.04
42966.56,29.99,15.89,28.64,1525.61
42966.6,29.9,17.52,31.26,1527.09
42966.65,29.82,16.74,29.95,1526.1
42966.69,29.96,13.84,25.24,1523.42
42966.73,30.63,10.76,20.29,1521.77
42966.77,31.45,8.87,17.25,1521.67
42966.81,31.5,8.21,16.08,1521.13
42966.85,30.86,3.88,7.92,1515.25
42966.9,31.1,7.31,14.34,1519.29
42966.94,30.8,10.52,19.94,1521.91
42966.98,30.6,11.31,21.24,1522.27
42967.02,30.77,14.44,26.65,1525.87
42967.06,30.69,16.19,29.52,1527.47
42967.1,30.72,16.62,30.26,1527.98
42967.15,30.77,15.85,29,1527.31
42967.19,30.63,13.26,24.57,1524.33
42967.23,30.66,13.3,24.66,1524.44
42967.27,30.54,12.6,23.42,1523.46
42967.31,30.11,10.51,19.66,1520.32
42967.35,30.02,10.6,19.79,1520.21
42967.4,30.45,16.48,29.87,1527.25
42967.44,30.45,17.35,31.31,1528.15
42967.48,30.54,17.98,32.39,1528.99
42967.52,30.45,18.16,32.63,1528.98
42967.56,30.45,18.57,33.29,1529.4
42967.6,30.51,18.12,32.6,1529.07
42967.65,30.98,17.25,31.45,1529.19
42967.69,30.77,15.7,28.75,1527.15
42967.73,31.24,14.07,26.24,1526.52
42967.77,31.33,12.03,22.77,1524.63
42967.81,31.33,10.79,20.61,1523.37
42967.85,30.95,7.56,14.75,1519.22
42967.9,30.31,7.07,13.7,1517.24
42967.94,30.51,9.62,18.27,1520.34
42967.98,30.57,12.28,22.88,1523.19
42968.02,30.4,13.84,25.45,1524.41
42968.06,30.4,14.73,26.94,1525.33
42968.1,30.31,15.63,28.38,1526.05
42968.15,30.19,15.34,27.84,1525.49
42968.19,30.05,14.05,25.63,1523.84
42968.23,30.16,14.23,26,1524.29
42968.27,29.9,12.92,23.67,1522.34
42968.31,29.61,12.08,22.14,1520.8
42968.35,29.58,12.25,22.43,1520.92
42968.4,29.58,12.25,22.43,1520.92
42968.44,30.16,15.76,28.52,1525.86
42968.48,30.4,18.74,33.54,1529.45
42968.52,30.34,19.57,34.84,1530.17
