Date/time,Pressure[cm],Temperature[°C],1:Conductivity[mS/cm]
42958.42,1124.967,30.98,36.16
42958.46,1125.433,31.053,34.212
42958.50,1142.058,31.813,33.5
42958.54,1169.417,32.323,37.888
42958.58,1201.442,32.697,40.304
42958.63,1216.842,32.84,40.14
42958.67,1226.35,32.893,39.796
42958.71,1221.042,32.837,39
42958.75,1209.258,33.053,38.064
42958.79,1193.975,33.163,35.896
42958.83,1170.583,32.9,33.42
42958.88,1146.9,32.673,33.364
42958.92,1127.767,32.473,33.584
42958.96,1119.075,32.197,33.012
42959.00,1122.808,31.91,32.268
42959.04,1142.408,31.357,30.124
42959.08,1166.617,31.283,30.924
42959.13,1191.992,31.267,29.876
42959.17,1206.692,31.21,29.336
42959.21,1214.45,31.247,30.072
42959.25,1206.05,31.253,30.544
42959.29,1188.667,31.15,30.376
42959.33,1170.992,31.137,30.424
42959.38,1152.325,31.04,30.3
42959.42,1131.85,30.973,28.684
42959.46,1122.808,31.177,28.308
42959.50,1127.008,31.823,28.588
42959.54,1143.517,32.517,28.94
42959.58,1166.033,32.897,35.156
42959.63,1194.908,33.137,36.488
42959.67,1213.633,33.247,37.08
42959.71,1217.658,33.263,36.852
42959.75,1215.85,33.353,36.332
42959.79,1197.708,33.453,35.432
42959.83,1183.65,33.3,34.944
42959.88,1166.033,33.237,34.172
42959.92,1143.05,33.047,32.724
42959.96,1130.858,32.913,31.492
42960.00,1134.475,32.83,31.028
42960.04,1147.367,31.913,28.788
42960.08,1165.683,31.773,28.9
42960.13,1191,31.887,29.648
42960.17,1200.8,31.887,31.376
42960.21,1213.75,31.6,31.124
42960.25,1217.95,31.55,30.96
42960.29,1211.825,31.423,30.656
42960.33,1193.8,31.34,30.412
42960.38,1175.483,31.167,29.656
42960.42,1154.833,31.12,28.664
42960.46,1135.7,31.37,27.496
42960.50,1124.033,31.663,27.456
42960.54,1130.742,32.177,27.236
42960.58,1147.717,33.017,27.348
42960.63,1171.05,33.08,27.244
42960.67,1190.125,32.963,28.264
42960.71,1202.142,33.217,29.208
42960.75,1210.542,33.13,28.72
42960.79,1208.442,32.997,28.584
42960.83,1193.217,32.947,28.888
42960.88,1183.067,32.887,29.264
42960.92,1169.417,32.643,29.308
42960.96,1150.925,32.49,27.656
42961.00,1142.233,32.247,27
42961.04,1143.05,32.213,26.568
42961.08,1153.725,31.61,25.544
42961.13,1176.125,31.497,26.496
42961.17,1194.792,31.35,27.144
42961.21,1208.092,31.313,26.84
42961.25,1215.733,31.297,26.744
42961.29,1220.808,31.273,26.66
42961.33,1214.158,31.147,25.992
42961.38,1195.608,30.893,25.34
