Date & Time,Temp(?),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
42974.625,31.19,7.47,14.66,1519.67
42974.66667,31.1,8.19,15.92,1520.2
42974.70833,30.98,8.32,16.12,1520.07
42974.75,30.98,8.59,16.61,1520.35
42974.79167,30.92,9.11,17.51,1520.74
42974.83333,30.92,9.26,17.78,1520.9
42974.875,30.98,8.83,17.02,1520.58
42974.91667,30.54,6.38,12.51,1517.07
42974.95833,30.33,6.88,13.37,1517.11
42975,30.33,7.19,13.92,1517.43
42975.04167,30.45,8.63,16.51,1519.18
42975.08333,30.25,9.18,17.41,1519.27
42975.125,30.1,9.9,18.62,1519.68
42975.16667,29.81,9.87,18.47,1518.97
42975.20833,29.57,9.81,18.28,1518.36
42975.25,29.69,10.49,19.48,1519.34
42975.29167,30.07,12.02,22.23,1521.79
42975.33333,30.28,13.33,24.54,1523.61
42975.375,30.25,13.53,24.86,1523.76
42975.41667,28.78,9.96,18.26,1516.65
42975.45833,29.28,10.42,19.22,1518.31
42975.5,29.54,10.52,19.49,1519.03
42975.54167,30.04,10.44,19.53,1520.1
42975.58333,30.57,10.32,19.51,1521.18
42975.625,30.75,16.22,29.61,1527.63
42975.66667,30.83,17.21,31.29,1528.83
42975.70833,30.54,17.58,31.74,1528.57
42975.75,30.42,17.66,31.8,1528.4
42975.79167,30.22,17.94,32.13,1528.23
42975.83333,30.22,18.26,32.66,1528.56
42975.875,30.19,18.74,33.41,1528.99
42975.91667,30.19,18.87,33.62,1529.12
42975.95833,30.19,19.05,33.91,1529.31
42976,30.19,19.32,34.34,1529.58
42976.04167,30.19,19.59,34.78,1529.86
42976.08333,30.19,20.35,36,1530.65
42976.125,30.07,20.95,36.88,1531.01
42976.16667,30.04,21.12,37.12,1531.12
42976.20833,30.04,21.27,37.37,1531.28
42976.25,30.04,21.48,37.7,1531.49
42976.29167,30.01,21.44,37.62,1531.39
42976.33333,30.01,21.55,37.79,1531.5
42976.375,30.01,21.44,37.62,1531.39
42976.41667,30.04,21.48,37.7,1531.49
42976.45833,30.13,21.23,37.37,1531.43
42976.5,29.54,17.4,30.86,1526.17
42976.54167,30.16,20.96,36.96,1531.22
42976.58333,30.33,20.89,36.96,1531.52
42976.625,30.6,19.15,34.34,1530.31
42976.66667,30.51,20.12,35.84,1531.11
42976.70833,30.51,20.26,36.08,1531.26
42976.75,30.36,20.47,36.31,1531.16
42976.79167,29.92,20.07,35.38,1529.78
42976.83333,29.69,19.47,34.27,1528.64
42976.875,29.75,19.72,34.71,1529.03
42976.91667,29.75,19.68,34.63,1528.98
42976.95833,29.78,19.71,34.71,1529.08
42977,29.72,19.59,34.49,1528.83
42977.04167,29.78,20.04,35.23,1529.42
42977.08333,29.78,20.04,35.23,1529.42
42977.125,29.89,20.52,36.08,1530.18
42977.16667,29.84,20.5,36,1530.03
42977.20833,29.63,20.34,35.62,1529.41
42977.25,29.22,20.37,35.39,1528.52
42977.29167,28.75,20.87,35.85,1527.98
42977.33333,28.66,21.06,36.09,1527.98
42977.375,28.66,21.11,36.17,1528.03
42977.41667,28.9,20.41,35.24,1527.84
42977.45833,28.72,19.5,33.7,1526.49
42977.5,28.87,18.74,32.6,1526.03
42977.54167,29.66,18.19,32.2,1527.24
42977.58333,29.92,18.38,32.66,1528.03
42977.625,30.78,19,34.19,1530.54
42977.66667,31.28,19.71,35.68,1532.34
42977.70833,31.04,20.49,36.79,1532.63
42977.75,30.75,21.17,37.7,1532.7
42977.79167,30.63,21.49,38.12,1532.77
42977.83333,30.51,21.65,38.3,1532.68
