Date & Time,Temp(?C),Salinity(psu),Conduct(mS/cm),Sound Velocity(m/sec)
42974.63,30.87,18.66,33.7,1530.4
42974.67,30.93,18.8,33.96,1530.67
42974.71,30.73,19.87,35.59,1531.33
42974.75,30.58,20.41,36.35,1531.56
42974.79,30.58,20.41,36.35,1531.56
42974.83,30.58,20.52,36.54,1531.68
42974.88,30.58,20.46,36.45,1531.62
42974.92,30.58,20.41,36.35,1531.56
42974.96,30.49,19.98,35.6,1530.93
42975,30.29,18.28,32.73,1528.74
42975.04,30.29,19.17,34.17,1529.65
42975.08,30.14,19.56,34.71,1529.74
42975.13,30.17,19.55,34.71,1529.79
42975.17,30,19.29,34.18,1529.14
42975.21,29.88,19.07,33.76,1528.65
42975.25,30.14,20.42,36.09,1530.63
42975.29,30.26,20.85,36.85,1531.32
42975.33,30.29,20.9,36.95,1531.44
42975.38,30.29,20.96,37.05,1531.5
42975.42,30.2,20.7,36.57,1531.03
42975.46,29.97,19.81,34.99,1529.61
42975.5,29.18,11.57,21.12,1519.28
42975.54,29.1,8.79,16.37,1516.18
42975.58,29.59,13.96,25.27,1522.7
42975.63,30.49,20.09,35.79,1531.05
42975.67,30.52,19.79,35.32,1530.8
42975.71,30.38,19.63,34.96,1530.32
42975.75,30.29,19.95,35.43,1530.46
42975.79,30.2,20.46,36.18,1530.79
42975.83,30.17,20.71,36.57,1530.99
42975.88,30.14,20.85,36.76,1531.06
42975.92,30.11,20.98,36.96,1531.14
42975.96,30.14,20.85,36.76,1531.06
42976,30.11,20.74,36.57,1530.89
42976.04,30.11,20.86,36.76,1531.01
42976.08,30.08,21.06,37.06,1531.15
42976.13,30,21.48,37.66,1531.39
42976.17,29.97,21.49,37.67,1531.34
42976.21,29.97,21.49,37.67,1531.34
42976.25,29.94,21.38,37.47,1531.16
42976.29,29.94,21.5,37.67,1531.29
42976.33,29.94,21.44,37.57,1531.23
42976.38,29.94,21.19,37.17,1530.97
42976.42,29.73,20.37,35.74,1529.68
42976.46,29.97,20.99,36.87,1530.83
42976.5,29.85,20.32,35.73,1529.88
42976.54,29.65,18.8,33.18,1527.85
42976.58,30.03,19.78,34.98,1529.71
42976.63,30.11,20.14,35.62,1530.27
42976.67,30.05,14.2,25.9,1524.02
42976.71,30,16.45,29.57,1526.2
42976.75,30.08,15.26,27.65,1525.17
42976.79,29.94,15.16,27.41,1524.73
42976.83,29.73,14.61,26.42,1523.71
42976.88,29.71,14.76,26.65,1523.8
42976.92,29.68,14.95,26.94,1523.93
42976.96,29.68,14.95,26.94,1523.93
42977,29.68,15.28,27.49,1524.27
42977.04,29.71,16.99,30.29,1526.11
42977.08,29.65,17.28,30.73,1526.28
42977.13,29.62,17.67,31.34,1526.61
42977.17,29.59,18.83,33.18,1527.75
42977.21,29.53,19.22,33.78,1528.03
42977.25,29.24,18.76,32.87,1526.9
42977.29,28.83,18.58,32.32,1525.78
42977.33,28.72,18.78,32.57,1525.72
42977.38,28.69,18.84,32.65,1525.72
42977.42,28.75,18.71,32.48,1525.72
42977.46,28.89,17.08,29.97,1524.35
42977.5,28.86,17.97,31.38,1525.21
42977.54,28.89,17.86,31.22,1525.17
42977.58,28.98,18.17,31.76,1525.68
42977.63,29.07,17.89,31.37,1525.59
42977.67,29.18,17.7,31.13,1525.66
42977.71,29.24,17.49,30.83,1525.57
42977.75,29.36,17.3,30.6,1525.65
42977.79,29.73,17.02,30.36,1526.21
42977.83,30.49,15.74,28.66,1526.57
42977.88,30.26,16.65,30.05,1527
42977.92,30.52,16.86,30.54,1527.79
42977.96,30.46,17.16,30.99,1527.97
42978,30.46,17.34,31.3,1528.16
42978.04,30.46,17.34,31.3,1528.16
42978.08,30.49,17.9,32.23,1528.8
42978.13,30.49,18.1,32.56,1529
42978.17,30.46,18.26,32.8,1529.1
42978.21,30.32,18.52,33.14,1529.05
42978.25,30.17,18.85,33.57,1529.06
42978.29,30.14,19.29,34.26,1529.45
42978.33,30.08,19.59,34.71,1529.64
42978.38,30,19.63,34.72,1529.48
42978.42,29.91,19.78,34.9,1529.44
42978.46,30.08,20.04,35.44,1530.1
42978.5,30.52,19.68,35.14,1530.69
42978.54,30.58,19.21,34.42,1530.33
42978.58,30.52,19.13,34.24,1530.12
42978.63,30.52,18.81,33.72,1529.79
42978.67,30.55,18.48,33.21,1529.52
42978.71,30.55,17.98,32.39,1529
42978.75,30.58,17.2,31.14,1528.27
42978.79,30.75,16.91,30.76,1528.36
42978.83,31.16,13.49,25.21,1525.75
42978.88,30.81,16.24,29.67,1527.79
42978.92,30.73,17.62,31.9,1529.02
42978.96,30.7,18.63,33.54,1529.99
42979,30.67,19.39,34.77,1530.71
42979.04,30.64,19.91,35.59,1531.18
42979.08,30.64,20.32,36.25,1531.6
42979.13,30.61,20.51,36.54,1531.73
42979.17,30.58,20.41,36.35,1531.56
42979.21,30.58,16.15,29.4,1527.19
42979.25,30.55,20.01,35.69,1531.09
42979.29,30.49,19.58,34.96,1530.52
42979.33,30.23,18.77,33.48,1529.11
42979.38,30.23,19.92,35.34,1530.3
42979.42,30.35,20.57,36.46,1531.22
42979.46,30.4,20.79,36.85,1531.57
42979.5,30.46,20.76,36.84,1531.67
42979.54,30.4,20.97,37.14,1531.76
42979.58,30.64,19.91,35.59,1531.18
42979.63,30.61,19.36,34.68,1530.55
42979.67,30.52,18.54,33.3,1529.52
42979.71,30.29,13.78,25.29,1524.1
42979.75,30.11,11.74,21.78,1521.61
42979.79,29.94,6.25,12.13,1515.53
42979.83,31.05,11.26,21.33,1523.22
42979.88,30.49,10.16,19.2,1520.84
42979.92,30.35,14.66,26.8,1525.14
42979.96,30.23,16.58,29.91,1526.85
42980,30.08,16.2,29.22,1526.15
42980.04,30.29,17.69,31.77,1528.13
42980.08,30.26,18.04,32.32,1528.43
42980.13,30.29,18.64,33.31,1529.11
42980.17,30.11,18,32.17,1528.07
42980.21,30.14,17.65,31.62,1527.77
42980.25,30,17.06,30.57,1526.83
42980.29,30.17,18.79,33.49,1529.01
42980.33,29.97,18.06,32.18,1527.8
42980.38,29.97,19.47,34.45,1529.26
42980.42,29.85,20.26,35.64,1529.82
42980.46,29.85,20.44,35.92,1530
42980.5,29.47,20.2,35.29,1528.91
42980.54,29.53,20.17,35.29,1529.02
42980.58,29.68,19.65,34.55,1528.8
42980.63,29.71,19.26,33.94,1528.45
42980.67,29.62,18.4,32.52,1527.38
42980.71,28.49,5.65,10.75,1511.43
42980.75,28.17,2.25,4.53,1507.08
42980.79,27.99,0.01,0,1504.28
42980.83,27.88,0.01,0,1503.99
42980.88,28.4,6.1,11.52,1511.69
42980.92,29.01,13.49,24.22,1520.87
42980.96,29.01,14.88,26.5,1522.33
42981,29.36,17.63,31.12,1525.98
42981.04,29.5,18.86,33.18,1527.59
42981.08,29.53,19.5,34.21,1528.31
42981.13,29.59,20.15,35.28,1529.12
42981.17,29.56,19.54,34.3,1528.42
42981.21,29.56,19.99,35.01,1528.89
42981.25,29.56,19.99,35.01,1528.89
42981.29,29.5,19.79,34.65,1528.55
42981.33,29.56,20.57,35.93,1529.49
42981.38,29.65,21.01,36.7,1530.15
